id_api,animal_name,farm_id_api,farm_name,mean_acc_g,median_acc_g,mean_temp,n_rows,z_acc,z_temp,possible_sick
CS342,Μπέλα,1,KFarm,0.9240394509122154,0.9185311406350295,29.114749262536872,678,-1.412823556035037,0.788365583394663,False
DS532,Μουσχούρη,1,KFarm,0.962541817251196,0.9601141655705757,28.863763608087094,1286,0.6521236611374456,0.6226061638824869,False
DW284,Κοκκίνα,1,KFarm,0.9645662960820226,0.9601141655705757,25.784608985024956,1202,0.7606998948975914,-1.4109717472771475,False
